
2024/06/06 (14:25:17) | ===> btop++ v.1.3.2
2024/06/12 (15:07:45) | WARNING: NVML: Failed to get GPU power usage: No data
2024/06/12 (15:07:47) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/06/12 (15:07:47) | WARNING: NVML: Failed to get GPU power usage: No data
2024/06/12 (15:07:49) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/06/12 (15:07:49) | WARNING: NVML: Failed to get GPU power usage: No data
2024/06/12 (15:07:51) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/06/12 (15:07:51) | WARNING: NVML: Failed to get GPU power usage: No data
2024/06/12 (15:07:53) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/06/12 (15:07:53) | WARNING: NVML: Failed to get GPU power usage: No data
2024/06/12 (15:07:55) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/06/12 (15:07:55) | WARNING: NVML: Failed to get GPU power usage: No data
2024/06/12 (15:07:57) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/06/12 (15:07:57) | WARNING: NVML: Failed to get GPU power usage: No data
2024/06/12 (15:07:59) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/06/12 (15:07:59) | WARNING: NVML: Failed to get GPU power usage: No data
2024/06/12 (15:08:01) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/06/12 (15:08:01) | WARNING: NVML: Failed to get GPU power usage: No data
2024/06/12 (15:08:03) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/06/12 (15:08:03) | WARNING: NVML: Failed to get GPU power usage: No data
